TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20200101201312,1,68,19,2,0,0,0
20200101201313,1,64,18,1,0,0,0
20200101201313,2,36,30,2,0,0,0
20200101201337,1,64,18,2,0,0,0
20200101201337,2,85,24,2,60,0,0
20200101201370,1,48,19,1,0,0,0
20200101201372,1,69,19,2,0,0,0
20200101201380,1,59,19,1,0,0,0
20200101201406,1,78,19,2,0,0,0
20200101201408,1,69,18,1,0,0,0
20200101201408,2,65,20,2,0,0,0
20200101201415,1,34,18,1,0,0,0
20200101201415,2,34,20,2,0,0,0
20200101201415,3,0,22,2,0,0,0
20200101201418,1,64,18,2,0,0,0
20200101201418,2,20,22,2,0,0,0
20200101201501,1,30,18,1,0,0,0
20200101201501,2,27,20,2,0,0,0
20200101201522,1,52,19,2,0,0,0
20200101201528,1,69,19,2,0,0,0
20200101201549,1,31,18,2,0,0,0
20200101201549,2,4,22,1,0,0,0
20200101201588,1,32,18,2,0,0,0
20200101201588,2,41,20,1,0,0,0
20200101201588,3,3,22,2,0,0,0
20200101201623,1,41,18,1,0,0,0
20200101201623,2,36,20,2,0,0,0
20200101201623,3,8,22,2,0,0,0
20200101201623,4,8,22,2,0,0,0
20200101201670,1,44,18,1,0,0,0
20200101201670,2,42,20,2,0,0,0
20200101201670,3,5,22,2,0,0,0
20200101201676,1,60,18,1,0,0,0
20200101201676,2,58,20,2,0,0,0
20200101201701,1,57,18,1,0,0,0
20200101201701,2,53,20,2,0,0,0
20200101201701,3,24,22,2,0,0,0
20200101201702,1,68,19,2,0,0,0
20200101201704,1,66,19,1,0,0,0
20200101201730,1,50,18,2,0,0,0
20200101201730,2,70,24,2,0,0,0
20200101201730,3,69,24,1,0,0,0
20200101201730,4,35,25,2,0,0,0
20200101201730,5,7,26,2,0,0,0
20200101201753,1,59,18,1,0,0,0
20200101201753,2,65,20,2,0,0,0
20200101201753,3,18,23,1,0,0,0
20200101201753,5,10,23,1,0,0,0
20200101201813,1,50,18,1,0,0,0
20200101201813,2,42,20,2,0,0,0
20200101201824,1,55,19,1,0,0,0
20200101201827,1,80,18,2,0,0,0
20200101201827,2,85,20,1,60,0,0
20200101201837,1,43,18,1,0,0,0
20200101201837,2,17,22,1,0,0,0
20200101201837,3,15,22,2,0,0,0
20200101201838,1,45,18,1,0,0,0
20200101201838,2,40,20,2,0,0,0
20200101201838,3,8,22,1,0,0,0
20200101201838,4,6,22,2,0,0,0
20200101201889,1,74,18,1,0,0,0
20200101201889,2,76,20,2,0,0,0
20200101201893,1,68,19,2,0,0,0
20200101201900,1,46,19,1,0,0,0
20200101201965,1,33,18,2,0,0,0
20200101201965,2,33,20,1,0,0,0
20200101201975,1,68,19,2,0,0,0
20200101201983,1,38,18,2,0,0,0
20200101201983,2,37,20,1,0,0,0
20200101201983,3,7,22,2,0,0,0
20200101201983,4,5,22,1,0,0,0
20200101202001,1,31,18,1,0,0,0
20200101202001,2,30,20,2,0,0,0
20200101202027,1,32,19,1,0,0,0
20200101202032,1,36,18,1,0,0,0
20200101202032,2,35,20,2,0,0,0
20200101202032,3,5,22,2,0,0,0
20200101202032,4,3,22,1,0,0,0
20200101202046,1,59,18,1,0,0,0
20200101202046,2,57,20,2,0,0,0
20200101202046,3,12,22,1,0,0,0
20200101202107,1,56,19,1,0,0,0
20200101202178,1,59,19,2,0,0,0
20200101202240,1,52,18,2,0,0,0
20200101202240,2,51,20,1,0,0,0
20200101202240,3,15,22,1,0,0,0
20200101202252,1,59,18,1,0,0,0
20200101202252,2,20,22,1,0,0,0
20200101202252,3,22,22,2,0,0,0
20200110190084,1,39,18,1,0,0,0
20200110190084,2,32,20,2,0,0,0
20200110190084,3,15,22,1,0,0,0
20200110190084,4,13,22,1,0,0,0
20200110190084,5,10,22,2,0,0,0
20200110190084,6,2,22,1,0,0,0
20200110190084,7,13,22,1,0,0,0
20200110190084,8,10,22,2,0,0,0
20200110190691,1,40,18,1,0,0,0
20200110190691,2,35,20,2,0,0,0
20200110190691,3,16,22,1,0,0,0
20200110190691,4,13,22,2,0,0,0
20200110190691,5,15,40,2,0,0,0
20200110190781,1,51,18,2,0,0,0
20200110190781,2,58,20,1,0,0,0
20200110190880,1,55,18,1,0,0,0
20200110190880,2,54,20,2,0,0,0
20200110190896,1,39,18,1,0,0,0
20200110190896,2,45,21,2,0,0,0
20200110190981,1,32,18,2,0,0,0
20200110190981,2,28,26,2,0,0,0
